sample,nm,period,height,gap,theta_1,theta_2,transmittance
0,0,0.5591454651,0.4362815898,0.1023929791,12.7906564382,25.776735099,0.32209796469999996
0,1,0.5591454651,0.4362815898,0.1023929791,12.7906564382,25.776735099,0.143706093
0,2,0.5591454651,0.4362815898,0.1023929791,12.7906564382,25.776735099,0.33055408129999997
1,0,0.6208341613,0.36881627710000003,0.09566692859999999,11.910710608099999,29.878400312399997,0.6615623978
1,1,0.6208341613,0.36881627710000003,0.09566692859999999,11.910710608099999,29.878400312399997,0.2642637765
2,0,0.575308024,0.40448915420000003,0.10946626279999999,11.617698685599999,29.121501272800003,0.45013808619999995
2,1,0.575308024,0.40448915420000003,0.10946626279999999,11.617698685599999,29.121501272800003,0.3204409902
2,2,0.575308024,0.40448915420000003,0.10946626279999999,11.617698685599999,29.121501272800003,0.2957307298
3,0,0.59976871,0.4215744023,0.10911088220000001,13.185898738399999,28.451762084299997,0.6268820820000001
3,1,0.59976871,0.4215744023,0.10911088220000001,13.185898738399999,28.451762084299997,0.30792433900000005
4,0,0.5558603486,0.419572455,0.10735051300000001,11.5940663093,29.123253859400002,0.3578586632
4,1,0.5558603486,0.419572455,0.10735051300000001,11.5940663093,29.123253859400002,0.07208676
4,2,0.5558603486,0.419572455,0.10735051300000001,11.5940663093,29.123253859400002,0.32134405850000003
5,0,0.5994093390999999,0.4339706497,0.1073396757,13.241934833800002,28.079652687800003,0.6447748947
5,1,0.5994093390999999,0.4339706497,0.1073396757,13.241934833800002,28.079652687800003,0.2949820928
6,0,0.581509895,0.43555167920000004,0.10581777839999999,13.7032440289,25.1246266773,0.35573507270000004
6,1,0.581509895,0.43555167920000004,0.10581777839999999,13.7032440289,25.1246266773,0.0443296065
6,2,0.581509895,0.43555167920000004,0.10581777839999999,13.7032440289,25.1246266773,0.3176585317
7,0,0.5855109945,0.4358390151,0.1086322982,13.265746259,29.4093147177,0.6833788075
7,1,0.5855109945,0.4358390151,0.1086322982,13.265746259,29.4093147177,0.27597535100000004
8,0,0.5702237918,0.39459741159999995,0.0947075659,13.0809215334,27.405736385300003,0.3935524878
8,1,0.5702237918,0.39459741159999995,0.0947075659,13.0809215334,27.405736385300003,0.3582817688
8,2,0.5702237918,0.39459741159999995,0.0947075659,13.0809215334,27.405736385300003,0.0093592047
9,0,0.6573417404999999,0.38564308799999997,0.09659208849999999,13.9010945518,29.5946844335,0.665956287
9,1,0.6573417404999999,0.38564308799999997,0.09659208849999999,13.9010945518,29.5946844335,0.2170999965
10,0,0.600054286,0.421062029,0.1035925305,11.7159950498,25.5510176515,0.3040570282
10,1,0.600054286,0.421062029,0.1035925305,11.7159950498,25.5510176515,0.036349641099999996
10,2,0.600054286,0.421062029,0.1035925305,11.7159950498,25.5510176515,0.22115999890000002
11,0,0.6163790386,0.4058815953,0.0972892441,12.9556563342,26.0234404024,0.6514799202
11,1,0.6163790386,0.4058815953,0.0972892441,12.9556563342,26.0234404024,0.27063980029999996
12,0,0.5986027454,0.4033622811,0.0937230046,13.9060468133,28.8590633233,0.3033749164
12,1,0.5986027454,0.4033622811,0.0937230046,13.9060468133,28.8590633233,0.2720722806
12,2,0.5986027454,0.4033622811,0.0937230046,13.9060468133,28.8590633233,0.0114130004
13,0,0.6490578378,0.4010466207,0.10413767560000001,12.034568813,26.201791029299997,0.7051789481
13,1,0.6490578378,0.4010466207,0.10413767560000001,12.034568813,26.201791029299997,0.23642422219999998
14,0,0.6571371594,0.4206517074,0.0957798245,11.910262816900001,26.8474290964,0.1008543466
14,1,0.6571371594,0.4206517074,0.0957798245,11.910262816900001,26.8474290964,0.1158907877
14,2,0.6571371594,0.4206517074,0.0957798245,11.910262816900001,26.8474290964,0.1619962064
14,3,0.6571371594,0.4206517074,0.0957798245,11.910262816900001,26.8474290964,0.006851565600000001
15,0,0.6109381653,0.38710172579999996,0.0967990908,12.7378203748,28.246416140900003,0.615614596
15,1,0.6109381653,0.38710172579999996,0.0967990908,12.7378203748,28.246416140900003,0.2888443852
16,0,0.5448651263000001,0.42748114880000004,0.10482061349999999,12.939814670499999,26.3122323838,0.181154736
16,1,0.5448651263000001,0.42748114880000004,0.10482061349999999,12.939814670499999,26.3122323838,0.46569168229999997
16,2,0.5448651263000001,0.42748114880000004,0.10482061349999999,12.939814670499999,26.3122323838,0.5904122127
17,0,0.5709369315,0.40426893909999995,0.1076380761,13.6678393371,25.9320746758,0.6073792182000001
18,0,0.5585199117,0.40871658619999995,0.0931248731,12.968340683900001,30.0142250554,0.3485140996
18,1,0.5585199117,0.40871658619999995,0.0931248731,12.968340683900001,30.0142250554,0.2893832987
18,2,0.5585199117,0.40871658619999995,0.0931248731,12.968340683900001,30.0142250554,0.1375231664
19,0,0.5703457069,0.43062491229999994,0.1044500311,12.4035647777,29.094401721399997,0.6588864
20,0,0.5968498997,0.37463539020000003,0.10675905769999999,12.443007463699999,26.0408399227,0.26577967339999997
20,1,0.5968498997,0.37463539020000003,0.10675905769999999,12.443007463699999,26.0408399227,0.0359307902
20,2,0.5968498997,0.37463539020000003,0.10675905769999999,12.443007463699999,26.0408399227,0.0319031373
21,0,0.5683903692,0.3744159975,0.1030090633,13.1172377522,28.8192003492,0.641115899
22,0,0.5690918699,0.4225033987,0.09761181109999999,12.958829371199998,25.438794551199997,0.26909645050000003
22,1,0.5690918699,0.4225033987,0.09761181109999999,12.958829371199998,25.438794551199997,0.5084496347999999
22,2,0.5690918699,0.4225033987,0.09761181109999999,12.958829371199998,25.438794551199997,0.1673752957
23,0,0.5421355048,0.36935596810000004,0.1082354928,13.4925521098,29.6029169531,0.5892945659000001
24,0,0.5972343981,0.4259884733,0.09180252289999999,13.401953150399999,25.6763640229,0.2824147286
24,1,0.5972343981,0.4259884733,0.09180252289999999,13.401953150399999,25.6763640229,0.154126521
24,2,0.5972343981,0.4259884733,0.09180252289999999,13.401953150399999,25.6763640229,0.2678503619
25,0,0.6047272743,0.433502404,0.1040112573,11.9470749894,25.955727028200002,0.6305734339000001
25,1,0.6047272743,0.433502404,0.1040112573,11.9470749894,25.955727028200002,0.3163545201
26,0,0.5427016702,0.37719724920000003,0.09221145039999999,13.409528836700002,25.373412729400002,0.1213129408
26,1,0.5427016702,0.37719724920000003,0.09221145039999999,13.409528836700002,25.373412729400002,0.0643757108
26,2,0.5427016702,0.37719724920000003,0.09221145039999999,13.409528836700002,25.373412729400002,0.0069082423
27,0,0.5869119035,0.3944869705,0.1033708549,13.7182518619,25.4508111199,0.6768008990000001
27,1,0.5869119035,0.3944869705,0.1033708549,13.7182518619,25.4508111199,0.28838749840000005
28,0,0.6134373504,0.39823125189999997,0.10075674800000001,13.4920726192,25.138740295599998,0.22774953969999998
28,1,0.6134373504,0.39823125189999997,0.10075674800000001,13.4920726192,25.138740295599998,0.1721674302
28,2,0.6134373504,0.39823125189999997,0.10075674800000001,13.4920726192,25.138740295599998,0.4113949487
29,0,0.6243332656,0.4260168434,0.0945858038,12.9850718294,26.408759153000002,0.7004965245
29,1,0.6243332656,0.4260168434,0.0945858038,12.9850718294,26.408759153000002,0.24149117250000002
30,0,0.655982696,0.41631002289999997,0.10507258720000001,11.9890787592,27.0782636716,0.1113944476
30,1,0.655982696,0.41631002289999997,0.10507258720000001,11.9890787592,27.0782636716,0.09517907689999999
30,2,0.655982696,0.41631002289999997,0.10507258720000001,11.9890787592,27.0782636716,0.4470574322
30,3,0.655982696,0.41631002289999997,0.10507258720000001,11.9890787592,27.0782636716,0.0552973579
31,0,0.5649338011999999,0.3885219239,0.1046869175,13.3386865991,29.420307032600004,0.6337244859
32,0,0.6366924782,0.3785478235,0.09272200720000001,13.1347633717,29.4184892751,0.1671313673
32,1,0.6366924782,0.3785478235,0.09272200720000001,13.1347633717,29.4184892751,0.1548895018
32,2,0.6366924782,0.3785478235,0.09272200720000001,13.1347633717,29.4184892751,0.3151637845
32,3,0.6366924782,0.3785478235,0.09272200720000001,13.1347633717,29.4184892751,0.0073102452
33,0,0.6048554722,0.4059200061,0.1005034817,13.226635848299999,29.370884503699997,0.6832056866
33,1,0.6048554722,0.4059200061,0.1005034817,13.226635848299999,29.370884503699997,0.2592103172
34,0,0.6381355657,0.3943812062,0.0920834111,14.0314163572,28.8965520665,0.1602557185
34,1,0.6381355657,0.3943812062,0.0920834111,14.0314163572,28.8965520665,0.0842353053
34,2,0.6381355657,0.3943812062,0.0920834111,14.0314163572,28.8965520665,0.3920277728
34,3,0.6381355657,0.3943812062,0.0920834111,14.0314163572,28.8965520665,0.0269267957
35,0,0.5855566327,0.41152917850000004,0.10086546519999999,13.1824053902,27.4509081361,0.6754739244
35,1,0.5855566327,0.41152917850000004,0.10086546519999999,13.1824053902,27.4509081361,0.2881469449
36,0,0.581898942,0.36792470310000003,0.1033729272,11.986845359,28.286273130300003,0.33858311049999995
36,1,0.581898942,0.36792470310000003,0.1033729272,11.986845359,28.286273130300003,0.12349187060000001
36,2,0.581898942,0.36792470310000003,0.1033729272,11.986845359,28.286273130300003,0.2258809766
37,0,0.634299929,0.40921874979999995,0.09799949029999999,12.5573113665,25.508521743600003,0.671378819
37,1,0.634299929,0.40921874979999995,0.09799949029999999,12.5573113665,25.508521743600003,0.24050392649999996
38,0,0.6179853834000001,0.40702849909999994,0.0965108764,11.5275795894,29.4404909592,0.2974965313
38,1,0.6179853834000001,0.40702849909999994,0.0965108764,11.5275795894,29.4404909592,0.018081549
38,2,0.6179853834000001,0.40702849909999994,0.0965108764,11.5275795894,29.4404909592,0.0039237685999999996
39,0,0.6543573252,0.36718039630000004,0.1008070837,14.065152091300002,29.9331366376,0.6439807292999999
